649,2015-03-16 13:08:00.081068+00,2015-03-16 13:08:05.935247+00,t,f,ebook,no,9781447256236
651,2015-03-27 23:13:22.10775+00,2015-03-27 23:13:28.182598+00,t,f,ebook,no,9780006550624
655,2015-04-12 21:20:27.60594+00,2015-04-16 21:54:11.767555+00,t,f,ebook,no,9781847084231
666,2015-06-19 08:01:58.285225+00,2015-06-19 08:01:58.768636+00,t,f,ebook,no,9781409127956
673,2015-07-18 11:38:24.709484+00,2015-08-24 14:06:20.776934+00,t,f,ebook,no,9781479835454
681,2015-08-23 22:48:01.283213+00,2015-08-28 13:42:23.156696+00,t,f,ebook,no,9780007520763
684,2015-08-28 22:49:41.027312+00,2015-09-05 21:09:18.478814+00,t,f,ebook,no,9780007464586
670,2015-07-08 22:20:21.011655+00,2015-07-15 08:15:49.85401+00,t,f,paper,no,9781846683572
680,2015-08-14 20:46:44.184808+00,2015-08-20 08:03:50.982291+00,t,f,paper,no,9780241972762
671,2015-07-15 08:16:39.069834+00,2015-07-15 08:16:39.948368+00,t,f,paper,no,9780804137171
689,2015-09-20 21:05:49.497671+00,2015-10-04 20:01:15.090931+00,t,f,ebook,no,9780143127154
691,2015-10-14 12:43:11.86043+00,2015-10-14 12:43:14.629364+00,t,f,ebook,no,9780061695131
659,2015-05-12 11:24:42.198966+00,2015-05-20 07:39:47.24382+00,t,f,audio,format-shifted,9780575084469
662,2015-06-06 21:55:41.130049+00,2015-06-06 21:55:46.218039+00,t,f,audio,format-shifted,9781400067886
664,2015-06-12 18:53:11.499512+00,2015-06-12 18:53:17.779676+00,t,f,ebook,no,9780349114903
665,2015-06-15 21:29:20.874989+00,2015-06-15 21:29:30.428818+00,t,f,ebook,no,9780349120515
676,2015-07-23 21:29:10.486283+00,2015-07-25 18:51:23.891251+00,t,f,ebook,no,9789381017647
634,2014-12-31 23:45:50.399906+00,2015-01-16 22:24:40.561584+00,t,f,ebook,no,9788861921573
635,2015-01-24 22:30:38.637189+00,2015-02-03 23:14:30.595759+00,t,f,ebook,no,9780007183135
648,2015-03-08 22:03:36.595064+00,2015-03-16 13:05:52.274954+00,t,f,ebook,no,9781444760873
640,2015-02-11 22:58:21.726853+00,2015-02-11 22:58:23.494523+00,t,f,ebook,no,9780340820674
675,2015-07-20 21:20:52.263264+00,2015-07-21 20:49:54.001433+00,t,f,ebook,no,9780141041155
421,2013-07-10 03:05:02.73272+00,2013-10-28 09:31:23.425015+00,t,f,"","",9781842778609
549,2013-11-24 20:26:46.866169+00,2013-11-24 20:26:53.134653+00,t,f,"","",9780006480419
412,2013-08-27 03:02:24.21105+00,2013-11-24 22:15:57.868201+00,t,t,"","",9781847394071
558,2013-12-31 00:10:20.680643+00,2013-12-31 00:10:25.117433+00,t,f,"","",9781602060784
592,2014-06-30 22:52:55.1103+00,2014-07-02 21:55:17.72774+00,t,f,"","",9780297866121
551,2013-12-03 08:31:18.879548+00,2013-12-06 08:31:18.879548+00,t,f,"","",9781442427648
565,2014-03-07 23:12:18.973359+00,2014-03-10 22:36:54.294388+00,t,f,"","",9781908968982
567,2014-02-05 22:08:36.384455+00,2014-02-09 22:08:36.384455+00,t,f,"","",9781841494135
576,2014-04-15 22:40:00.113349+00,2014-05-03 22:49:23.308387+00,t,f,"","",9781844087419
594,2014-07-05 21:43:09.299686+00,2014-08-19 08:24:26.190139+00,t,f,"","",9781594205231
570,2014-03-23 22:27:28.362495+00,2014-03-28 22:27:28.362495+00,t,f,"","",9781000000000
579,2014-04-20 22:40:00.113349+00,2014-04-21 22:40:00.113349+00,t,f,"","",9780099981107
400,2012-12-11 02:32:04+00,2012-12-22 02:32:04+00,t,f,"","",9785556254596
