339,Naomi Alderman,British,White,woman
327,Diana Evans,British,Black,woman
325,Jim Crace,British,White,man
10311,Reni Eddo-Lodge,British,Black,woman
346,Ned Beauman,British,White,man
348,Lisa Tuttle,American,White,woman
342,Jessie Burton,British,White,woman
357,Lane Loomis,American,White,woman
351,Leigh Bardugo,American,White,woman
350,Chris Ewan,British,White,man
352,Henry Hitchings,British,White,man
354,Stuart Turton,British,White,man
353,Kate Allen,American,White,woman
349,Marie Kondo,Japanese,Asian,woman
355,John Joseph Adams,American,White,man
365,Robert s baker,"","",man
372,Larissa Zageris,American,White,woman
371,Kitty Curran,American,White,woman
369,Deborah Harkness,American,White,woman
370,Catriona Ward,American,White,woman
361,Ruth Hogan,British,White,woman
362,Eva Woods,British,White,woman
359,Ami McKay,Canadian,White,woman
356,Andrew Groen,American,White,man
360,Peter Godfrey-Smith,Australian,White,man
363,Adrian Fisher,British,White,man
364,Ben Perkins,British,White,man
367,Paul Tremblay,American,White,man
368,Scott O. Lilienfeld,American,White,man
358,Claire Evans,British,White,woman
366,Rita Mae Brown,American,White,woman
373,Jennifer Toth,"","",""
374,Mallory Ortberg,"","",""
375,Tuen Voeten,"","",""
376,Akwaeke Emezi,"","",""
377,Kate Griffin,"","",""
378,AA. VV.,"","",""
379,Charles Spence,"","",""
380,Simon Kurt Unsworth,"","",""
381,Anthony Quinn,"","",""
